ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type,total_pop_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,total_pop_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
167102,ELEC,UNC Rex Healthcare Heart and Vascular Parking Deck,Raleigh,NC,27607,E,35.81987,-78.702876,HOSPITAL,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502288,918.5302800315401,6.822774870939811,POINT (707521.7826459537 3966405.071711291),120,5439,Wake,37,NORTH CAROLINA,37183,Wake,37183052504,0.4729,5.921416112502288,918.5302800315401,6.822774870939811
167103,ELEC,Hilton Raleigh North Hills,Raleigh,NC,27609,E,35.829812,-78.619724,HOTEL,5702,Wake,37,NORTH CAROLINA,37183,Wake,37183052701,0.5627,6.831229427801384,834.696017790633,6.727067608018227,POINT (715008.2327312494 3967687.6349078156),127,5702,Wake,37,NORTH CAROLINA,37183,Wake,37183052701,0.5627,6.831229427801384,834.696017790633,6.727067608018227
167104,ELEC,Hampton Inn & Suites Raleigh Midtown,Raleigh,NC,27609,E,35.822,-78.618794,HOTEL,5702,Wake,37,NORTH CAROLINA,37183,Wake,37183052701,0.5627,6.831229427801384,834.696017790633,6.727067608018227,POINT (715113.349208113 3966823.0024498818),127,5702,Wake,37,NORTH CAROLINA,37183,Wake,37183052701,0.5627,6.831229427801384,834.696017790633,6.727067608018227
167642,ELEC,Aldon at Powell and Broad,Fuquay Varina,NC,27526,E,35.6137397,-78.8117451,,4397,Wake,37,NORTH CAROLINA,37183,Wake,37183053206,0.1499,14.658550948452053,299.9614365336926,5.703653921505907,POINT (698195.1027401983 3943312.480951162),162,4397,Wake,37,NORTH CAROLINA,37183,Wake,37183053206,0.1499,14.658550948452053,299.9614365336926,5.703653921505907
222151,ELEC,Exchange at Holly Springs,Holly Springs,NC,27540,E,35.632,-78.8337,,4397,Wake,37,NORTH CAROLINA,37183,Wake,37183053206,0.1499,14.658550948452053,299.9614365336926,5.703653921505907,POINT (696161.6592266809 3945294.1263953815),162,4397,Wake,37,NORTH CAROLINA,37183,Wake,37183053206,0.1499,14.658550948452053,299.9614365336926,5.703653921505907
183787,ELEC,Town of Apex - Fleet,Apex,NC,27502,E,35.734544,-78.847516,MUNI_GOV,5350,Wake,37,NORTH CAROLINA,37183,Wake,37183053418,0.3286,6.69938700502562,798.5805262461532,6.682835809465981,POINT (694661.0106351135 3956642.254193646),175,5350,Wake,37,NORTH CAROLINA,37183,Wake,37183053418,0.3286,6.69938700502562,798.5805262461532,6.682835809465981
184762,ELEC,FCC Butner,Butner,NC,27509,E,36.137535,-78.813803,FED_GOV,6362,Durham,37,NORTH CAROLINA,37063,Durham,37063002100,0.317,185.31043305317334,34.3315802309656,3.536065637023845,POINT (696708.7028043601 4001417.041532796),56,6362,Durham,37,NORTH CAROLINA,37063,Durham,37063002100,0.317,185.31043305317334,34.3315802309656,3.536065637023845
185335,ELEC,COREV LETC EV 2,Raleigh,NC,27610,T,35.718652,-78.502388,,4388,Wake,37,NORTH CAROLINA,37183,Wake,37183052807,0.5877,42.288080699552985,103.76446335258683,4.642123555202787,POINT (725923.6446775809 3955619.4097224297),136,4388,Wake,37,NORTH CAROLINA,37183,Wake,37183052807,0.5877,42.288080699552985,103.76446335258683,4.642123555202787
185336,ELEC,COREV LETC EV 1,Raleigh,NC,27610,E,35.71863,-78.502525,,4388,Wake,37,NORTH CAROLINA,37183,Wake,37183052807,0.5877,42.288080699552985,103.76446335258683,4.642123555202787,POINT (725911.3118568482 3955616.6533387457),136,4388,Wake,37,NORTH CAROLINA,37183,Wake,37183052807,0.5877,42.288080699552985,103.76446335258683,4.642123555202787
185444,ELEC,Aviation Crossing,Morrisville,NC,27560,E,35.8333258,-78.8127564,,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734,POINT (697560.2648522349 3967670.322606762),207,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734
195402,ELEC,CBRE @ Microsoft station location,Morrisville,NC,27560,E,35.8582629,-78.8373174,,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734,POINT (695280.3052936146 3970387.4325796547),207,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734
205717,ELEC,Align Technology,Morrisville,NC,27560,E,35.868473,-78.827735,,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734,POINT (696120.5120374828 3971539.29935514),207,746,Wake,37,NORTH CAROLINA,37183,Wake,37183053609,0.3323,16.491270956223705,45.23605257473889,3.8118943922406734
186169,ELEC,5000 Davis Drive,Research Triangle Park,NC,27709,T,35.8609641,-78.8707416,,2514,Wake,37,NORTH CAROLINA,37183,Wake,37183053608,0.1652,6.2180792225282895,404.3049163625484,6.00216933675718,POINT (692255.2839675703 3970620.8364476226),206,2514,Wake,37,NORTH CAROLINA,37183,Wake,37183053608,0.1652,6.2180792225282895,404.3049163625484,6.00216933675718
187661,ELEC,UNION CHAPEL LEFT CHARGER,Chapel Hill,NC,27514,E,35.920734,-79.053505,,3834,Orange,37,NORTH CAROLINA,37135,Orange,37135011400,0.2379,3.2701739310372675,1172.4147035762994,7.066820750191308,POINT (675618.9793889564 3976907.24516666),77,3834,Orange,37,NORTH CAROLINA,37135,Orange,37135011400,0.2379,3.2701739310372675,1172.4147035762994,7.066820750191308
189382,ELEC,MB RALEIGH GM OFFICE,Raleigh,NC,27616,E,35.864118,-78.582751,,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333322,476.9917761696544,6.167499250005241,POINT (718254.5043272607 3971575.559912267),246,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333322,476.9917761696544,6.167499250005241
204934,ELEC,MB RALEIGH STATIONABB,Raleigh,NC,27616,E,35.863763,-78.582846,,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333322,476.9917761696544,6.167499250005241,POINT (718246.8991434581 3971535.962864398),246,2553,Wake,37,NORTH CAROLINA,37183,Wake,37183054018,0.4877,5.352293535333322,476.9917761696544,6.167499250005241
190217,ELEC,North Carolina Medical Board,Raleigh,NC,27604,E,35.820818,-78.606694,OFFICE_BLDG,3799,Wake,37,NORTH CAROLINA,37183,Wake,37183052705,0.46,4.6349399423522,819.643845929109,6.708869911675071,POINT (716209.8478449732 3966718.5449931123),129,3799,Wake,37,NORTH CAROLINA,37183,Wake,37183052705,0.46,4.6349399423522,819.643845929109,6.708869911675071
223393,ELEC,The Avenue,Raleigh,NC,27604,E,35.816201,-78.611464,,3799,Wake,37,NORTH CAROLINA,37183,Wake,37183052705,0.46,4.6349399423522,819.643845929109,6.708869911675071,POINT (715791.3531896084 3966195.7942393804),129,3799,Wake,37,NORTH CAROLINA,37183,Wake,37183052705,0.46,4.6349399423522,819.643845929109,6.708869911675071
192649,ELEC,Link Apartments Linden,Chapel Hill,NC,27517,E,35.91463,-79.0255,,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615125,924.3017649615207,6.829038603780454,POINT (678159.6863170689 3976280.8524905997),85,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615125,924.3017649615207,6.829038603780454
213877,ELEC,GRUBB GWENDOLYN EVSE,Chapel Hill,NC,27517,E,35.913227,-79.025081,,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615125,924.3017649615207,6.829038603780454,POINT (678200.6455571769 3976125.977155973),85,7551,Orange,37,NORTH CAROLINA,37135,Orange,37135012100,0.4998,8.169409911615125,924.3017649615207,6.829038603780454
193115,ELEC,"BCH, LLC CHECKERS 3881",Durham,NC,27707,E,35.968565,-78.903208,,3676,Durham,37,NORTH CAROLINA,37063,Durham,37063001303,0.5932,1.4989374126266821,2452.4039289661296,7.8048240179774995,POINT (689067.0486848577 3982494.3218349344),15,3676,Durham,37,NORTH CAROLINA,37063,Durham,37063001303,0.5932,1.4989374126266821,2452.4039289661296,7.8048240179774995
195620,ELEC,Purfoy Charger 1,Fuquay Varina,NC,27526,T,35.581498,-78.770625,,6473,Wake,37,NORTH CAROLINA,37183,Wake,37183053108,0.1462,34.77650046741519,186.13143683232468,5.226453073790061,POINT (702001.0961681684 3939819.428094277),153,6473,Wake,37,NORTH CAROLINA,37183,Wake,37183053108,0.1462,34.77650046741519,186.13143683232468,5.226453073790061
197540,ELEC,Saunders Street Parking,Apex,NC,27502,E,35.7323846572519,-78.8516078711346,PARKING_LOT,5267,Wake,37,NORTH CAROLINA,37183,Wake,37183053416,0.1453,7.636105647214459,689.7494931754022,6.536328478302493,POINT (694296.152698795 3956394.5916354456),173,5267,Wake,37,NORTH CAROLINA,37183,Wake,37183053416,0.1453,7.636105647214459,689.7494931754022,6.536328478302493
197889,ELEC,AG SCI CENTER STATION 1,Raleigh,NC,27607,E,35.8147,-78.713308,,6396,Wake,37,NORTH CAROLINA,37183,Wake,37183052503,0.2263,7.934554720661936,806.0943840168535,6.6922008374086355,POINT (706592.6012348747 3965809.4374168906),119,6396,Wake,37,NORTH CAROLINA,37183,Wake,37183052503,0.2263,7.934554720661936,806.0943840168535,6.6922008374086355
200422,ELEC,H&V19197843967 HOLLY SPRINGS 2,Holly Springs,NC,27540,T,35.64296,-78.83707,,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405,POINT (695829.6983037374 3946503.2368823653),160,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405
200423,ELEC,H&V19197843967 UNC HOLLY SPR 1,Holly Springs,NC,27540,E,35.6432,-78.836945,,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405,POINT (695840.43142799 3946530.1100722104),160,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405
226073,ELEC,TOWN HALL CT4000,Holly Springs,NC,27540,E,35.650398,-78.834208,,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405,POINT (696070.6753130711 3947334.0694855177),160,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405
226074,ELEC,TOWN HALL PARKINGDECK,Holly Springs,NC,27540,E,35.649315,-78.83418,,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405,POINT (696075.8587143347 3947213.9841020848),160,4383,Wake,37,NORTH CAROLINA,37183,Wake,37183053204,0.4641,3.8114494292361427,1149.9562256761733,7.047479156003405
201174,ELEC,TOWNCHAPELHILL1 TOWN HALL - EMP,Chapel Hill,NC,27516,E,35.9166,-79.057755,,2926,Orange,37,NORTH CAROLINA,37135,Orange,37135011300,0.4031,1.090009200427912,2684.3810115101055,7.895205444615088,POINT (675244.6078922574 3976441.009621998),76,2926,Orange,37,NORTH CAROLINA,37135,Orange,37135011300,0.4031,1.090009200427912,2684.3810115101055,7.895205444615088
201175,ELEC,TOWNCHAPELHILL1 TOWN HALL - PUB,Chapel Hill,NC,27516,E,35.91652,-79.05772,,2926,Orange,37,NORTH CAROLINA,37135,Orange,37135011300,0.4031,1.090009200427912,2684.3810115101055,7.895205444615088,POINT (675247.9427925672 3976432.197801994),76,2926,Orange,37,NORTH CAROLINA,37135,Orange,37135011300,0.4031,1.090009200427912,2684.3810115101055,7.895205444615088
206751,ELEC,TOC EV STATIONS MLKPARK,Chapel Hill,NC,27516,E,35.92584,-79.090709,,3203,Orange,37,NORTH CAROLINA,37135,Orange,37135010706,0.0389,5.7203882141395805,559.9270329385804,6.327806476915668,POINT (672250.843471209 3977407.372650714),64,3203,Orange,37,NORTH CAROLINA,37135,Orange,37135010706,0.0389,5.7203882141395805,559.9270329385804,6.327806476915668
207649,ELEC,CITY OF DURHAM MERRICK-MOORE2,Durham,NC,27703,E,36.002606,-78.859084,,6736,Durham,37,NORTH CAROLINA,37063,Durham,37063001802,0.9764,9.2739988412281,726.331770719522,6.588006894901349,POINT (692963.31500701 3986357.250282739),32,6736,Durham,37,NORTH CAROLINA,37063,Durham,37063001802,0.9764,9.2739988412281,726.331770719522,6.588006894901349
207657,ELEC,CITY OF DURHAM MERRICK-MOORE1,Durham,NC,27703,E,36.002589,-78.859063,,6736,Durham,37,NORTH CAROLINA,37063,Durham,37063001802,0.9764,9.2739988412281,726.331770719522,6.588006894901349,POINT (692965.2494806782 3986355.4059225824),32,6736,Durham,37,NORTH CAROLINA,37063,Durham,37063001802,0.9764,9.2739988412281,726.331770719522,6.588006894901349
